CustNum	30
DroneNum	5
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	0	0	0.0	0		6267
1	172	26	0.1	1567		2509
2	218	118	0.5	4038		4607
3	32	170	0.2	2050		2995
4	245	144	0.6	959		1278
5	383	446	0.3	3781		4990
6	179	177	0.3	915		1944
7	190	61	0.6	2867		3540
8	272	356	0.2	1940		2453
9	403	141	0.2	3805		4472
10	10	288	0.6	3038		3634
11	351	274	0.6	4273		4742
12	86	208	0.5	3100		4031
13	256	19	0.8	4017		4829
14	270	28	0.3	5271		5806
15	233	126	0.3	290		1016
16	172	242	0.7	4904		5970
17	472	126	1.2	4695		5377
18	376	229	0.3	3080		4261
19	424	351	0.9	551		1122
20	0	360	1.0	1823		2636
21	415	294	0.4	509		1053
22	471	94	1.5	1904		2840
23	430	246	0.9	4592		5429
24	394	268	1.5	2282		2796
25	375	334	1.2	598		1359
26	109	201	1.0	1743		2131
27	9	310	1.3	4817		5928
28	374	185	0.3	3115		3999
29	384	6	0.3	1048		1740
30	398	93	1.4	1270		2227
31	0	0	0.0	0		6267
