CustNum	20
DroneNum	3
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	0	0	0.0	0		6272
1	74	210	0.7	223		700
2	91	200	0.3	5296		6052
3	397	280	0.3	3860		4689
4	87	74	0.1	2839		3596
5	303	56	0.1	2074		2840
6	0	147	0.6	3311		4689
7	458	123	0.2	1030		1653
8	21	46	0.5	1640		2228
9	38	149	1.1	2909		4473
10	1	432	0.8	3083		3800
11	61	248	0.6	2258		3075
12	451	176	0.1	1170		2460
13	326	26	1.1	1665		2393
14	391	177	0.9	3363		4172
15	179	43	0.1	1195		1937
16	100	374	0.9	1962		2937
17	0	380	0.8	4765		5541
18	244	297	1.0	385		1009
19	117	218	0.9	3605		4692
20	440	52	0.4	2105		3178
21	0	0	0.0	0		6272
