CustNum	25
DroneNum	4
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	480	480	0.0	0		6768
1	496	77	0.3	4180		5237
2	44	483	0.7	577		2053
3	883	300	0.3	548		1380
4	200	96	0.6	565		1507
5	467	457	0.5	27		1116
6	112	328	0.2	399		858
7	212	620	0.6	2725		3934
8	568	893	0.2	1592		3347
9	764	33	0.7	1972		2870
10	819	122	0.7	4633		6029
11	922	500	0.3	6085		6325
12	535	522	0.2	2543		3666
13	856	390	1.5	1199		2008
14	244	861	0.7	2797		3712
15	255	650	1.3	393		1227
16	732	504	0.9	3944		4837
17	641	956	0.3	1595		2298
18	272	423	1.5	356		1534
19	831	754	1.2	2422		3367
20	808	844	0.4	921		2205
21	411	731	0.8	3086		4006
22	738	537	0.9	2529		3612
23	893	471	0.5	5879		6354
24	98	472	0.2	2703		3629
25	670	786	0.5	2381		3670
26	480	480	0.0	0		6768
