CustNum	20
DroneNum	3
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	480	480	0.0	0		6118
1	555	498	0.1	282		926
2	139	667	0.3	4972		5729
3	182	465	0.5	4045		5315
4	558	792	0.3	1397		2103
5	767	538	0.6	4108		5088
6	522	401	0.4	5252		6028
7	460	716	0.3	5214		5755
8	292	371	0.1	5053		5900
9	257	139	0.6	4215		4813
10	262	438	1.4	3572		4851
11	55	541	0.7	2534		3428
12	615	292	1.2	442		1294
13	572	850	1.2	3054		4329
14	225	415	0.4	4790		5750
15	150	656	1.0	1093		1758
16	11	571	0.8	2210		2855
17	511	397	0.2	552		1868
18	259	787	0.1	3648		4017
19	131	70	1.3	2883		3455
20	837	230	0.4	2886		3549
21	480	480	0.0	0		6118
