CustNum	25
DroneNum	4
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	480	480	0.0	0		7035
1	752	691	0.1	5678		6617
2	368	360	0.7	3727		4677
3	598	16	0.6	2267		2910
4	939	594	0.4	3890		4882
5	484	701	0.4	5292		6364
6	748	733	0.3	3419		3737
7	375	320	0.6	1091		2007
8	926	549	0.4	452		1756
9	82	271	0.4	450		984
10	39	479	0.5	2560		3170
11	62	469	0.5	1724		2527
12	435	118	0.7	864		1677
13	599	430	1.4	4323		6132
14	748	349	0.2	4028		5130
15	664	380	0.7	625		936
16	142	1	1.0	2001		3137
17	642	252	0.8	483		1728
18	723	576	1.2	3116		4188
19	674	44	0.5	4880		6057
20	6	211	0.8	3562		4466
21	27	705	0.2	3692		5202
22	582	808	0.1	2454		3439
23	536	702	1.0	1553		2562
24	453	230	1.3	1747		3172
25	641	72	1.0	888		1675
26	480	480	0.0	0		7035
