CustNum	20
DroneNum	3
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	480	480	0.0	0		7817
1	667	270	0.4	1211		2145
2	348	337	0.3	195		1040
3	678	46	0.5	5169		6084
4	180	426	0.4	6702		7512
5	193	321	0.3	3597		4872
6	959	923	0.3	4370		5456
7	81	920	0.1	1904		2645
8	117	902	0.1	557		1743
9	497	518	0.1	5117		6197
10	889	63	0.7	1526		2791
11	171	886	1.2	3576		5057
12	462	671	0.9	1254		2318
13	337	933	1.3	6375		7341
14	267	822	1.2	2848		4025
15	335	269	0.8	6377		7560
16	666	926	0.9	5812		6682
17	427	444	1.3	2941		4851
18	821	460	0.7	5230		6155
19	697	599	1.3	2206		3373
20	86	831	0.5	3587		4496
21	480	480	0.0	0		7817
