CustNum	20
DroneNum	4
#Node	X_coor	Y_coor	Demand	ReadyTime	DueTime
0	0	0	0.0	0		5159
1	394	241	0.6	1898		2310
2	298	182	0.6	1792		2562
3	350	107	0.2	1322		1841
4	331	99	0.6	3443		4357
5	156	107	0.4	3552		4518
6	423	338	0.2	1326		2136
7	170	237	0.1	839		1484
8	376	81	0.6	1855		2570
9	285	257	0.8	4392		4775
10	29	354	0.9	988		1619
11	19	233	0.7	2099		2303
12	263	249	1.4	1730		2703
13	164	272	0.9	3628		4540
14	45	300	0.3	2065		2996
15	370	351	1.5	2355		2897
16	104	453	0.3	3741		3881
17	39	323	1.3	2456		2826
18	100	434	0.8	3551		3915
19	254	385	0.6	1765		2392
20	455	393	1.3	3238		3722
21	0	0	0.0	0		5159
